Candidate Name,Resume Link,total_score,experience_score,skills_score,education_score,projects_score,communication_score
,,Overall score based on all criteria (0-100),Years of relevant work experience in AI/ML and related fields (0-30),Technical skills match with the job description (0-30),Relevance and level of educational background (0-20),Quality and relevance of completed projects (0-10),"Resume clarity, professionalism, and effectiveness (0-10)"
c1.pdf,file://data/CVs\c1.pdf,50,5,12,19,3,8
c10.pdf,file://data/CVs\c10.pdf,53,5,10,20,9,9
c11.pdf,file://data/CVs\c11.pdf,56,5,18,19,8,6
c12.pdf,file://data/CVs\c12.pdf,74,15,22,19,9,9
c13.pdf,file://data/CVs\c13.pdf,35,0,5,20,4,6
c14.pdf,file://data/CVs\c14.pdf,64,5,20,20,10,9
c15.pdf,file://data/CVs\c15.pdf,35,0,0,19,7,9
c16.pdf,file://data/CVs\c16.pdf,71,10,22,20,10,9
c17.pdf,file://data/CVs\c17.pdf,61,5,20,19,9,8
c18.pdf,file://data/CVs\c18.pdf,36,2,5,18,3,8
c19.pdf,file://data/CVs\c19.pdf,44,5,10,18,4,7
c2.pdf,file://data/CVs\c2.pdf,47,5,10,19,5,8
c20.pdf,file://data/CVs\c20.pdf,38,0,5,18,6,9
c21.pdf,file://data/CVs\c21.pdf,42,5,8,18,4,7
c22.pdf,file://data/CVs\c22.pdf,69,5,25,20,10,9
c23.pdf,file://data/CVs\c23.pdf,63,7,18,20,9,9
c24.pdf,file://data/CVs\c24.pdf,30,0,5,15,2,8
c25.pdf,file://data/CVs\c25.pdf,67,10,18,20,10,9
c26.pdf,file://data/CVs\c26.pdf,63,5,18,20,10,10
c27.pdf,file://data/CVs\c27.pdf,34,0,5,20,3,6
c28.pdf,file://data/CVs\c28.pdf,67,10,18,20,10,9
c29.pdf,file://data/CVs\c29.pdf,37,0,5,18,7,7
c3.pdf,file://data/CVs\c3.pdf,72,15,18,20,9,10
c30.pdf,file://data/CVs\c30.pdf,50,5,12,19,8,6
c31.pdf,file://data/CVs\c31.pdf,53,0,18,19,8,8
c32.pdf,file://data/CVs\c32.pdf,55,5,15,20,9,8
c33.pdf,file://data/CVs\c33.pdf,52,10,8,19,9,6
c34.pdf,file://data/CVs\c34.pdf,21,0,2,14,2,3
c35.pdf,file://data/CVs\c35.pdf,39,5,5,18,9,2
c36.pdf,file://data/CVs\c36.pdf,39,3,5,17,6,8
c37.pdf,file://data/CVs\c37.pdf,49,5,8,18,9,9
c38.pdf,file://data/CVs\c38.pdf,51,5,15,18,9,4
c39.pdf,file://data/CVs\c39.pdf,40,0,5,18,5,8
c4.pdf,file://data/CVs\c4.pdf,66,8,22,19,8,9
c40.pdf,file://data/CVs\c40.pdf,45,5,8,18,7,7
c41.pdf,file://data/CVs\c41.pdf,58,18,17,14,7,2
c42.pdf,file://data/CVs\c42.pdf,16,5,2,8,1,0
c43.pdf,file://data/CVs\c43.pdf,46,5,12,18,7,4
c44.pdf,file://data/CVs\c44.pdf,47,5,8,18,8,8
c45.pdf,file://data/CVs\c45.pdf,32,0,5,18,3,6
c46.pdf,file://data/CVs\c46.pdf,40,5,5,18,4,8
c47.pdf,file://data/CVs\c47.pdf,59,5,18,19,8,9
c48.pdf,file://data/CVs\c48.pdf,55,5,12,20,9,9
c49.pdf,file://data/CVs\c49.pdf,56,8,12,19,8,9
c5.pdf,file://data/CVs\c5.pdf,44,5,8,18,6,7
c50.pdf,file://data/CVs\c50.pdf,53,10,5,20,9,9
c51.pdf,file://data/CVs\c51.pdf,23,0,3,12,2,6
c52.pdf,file://data/CVs\c52.pdf,27,0,5,15,3,4
c53.pdf,file://data/CVs\c53.pdf,64,10,18,19,9,8
c54.pdf,file://data/CVs\c54.pdf,23,0,2,12,3,6
c55.pdf,file://data/CVs\c55.pdf,39,5,7,16,3,8
c56.pdf,file://data/CVs\c56.pdf,45,3,5,18,7,8
c57.pdf,file://data/CVs\c57.pdf,37,0,5,18,6,8
c58.pdf,file://data/CVs\c58.pdf,26,0,5,15,2,4
c59.pdf,file://data/CVs\c59.pdf,52,5,12,18,9,8
c6.pdf,file://data/CVs\c6.pdf,62,5,18,20,8,9
c60.pdf,file://data/CVs\c60.pdf,46,5,10,18,8,5
c61.pdf,file://data/CVs\c61.pdf,39,5,5,16,4,9
c62.pdf,file://data/CVs\c62.pdf,43,3,5,18,8,9
c63.pdf,file://data/CVs\c63.pdf,45,5,8,19,7,6
c64.pdf,file://data/CVs\c64.pdf,55,12,10,18,7,8
c65.pdf,file://data/CVs\c65.pdf,29,5,3,15,2,4
c66.pdf,file://data/CVs\c66.pdf,66,10,18,20,9,9
c67.pdf,file://data/CVs\c67.pdf,37,5,2,18,6,6
c68.pdf,file://data/CVs\c68.pdf,48,5,10,18,8,7
c69.pdf,file://data/CVs\c69.pdf,17,0,0,8,2,7
c7.pdf,file://data/CVs\c7.pdf,33,2,5,18,5,3
c70.pdf,file://data/CVs\c70.pdf,57,5,18,19,9,6
c71.pdf,file://data/CVs\c71.pdf,9,0,0,5,1,3
c72.pdf,file://data/CVs\c72.pdf,26,5,2,12,0,7
c73.pdf,file://data/CVs\c73.pdf,49,5,10,18,9,7
c74.pdf,file://data/CVs\c74.pdf,64,5,20,20,10,9
c75.pdf,file://data/CVs\c75.pdf,35,5,2,18,4,6
c76.pdf,file://data/CVs\c76.pdf,24,0,2,12,1,9
c77.pdf,file://data/CVs\c77.pdf,53,5,12,18,9,9
c78.pdf,file://data/CVs\c78.pdf,42,5,8,15,5,9
c79.pdf,file://data/CVs\c79.pdf,42,5,8,16,5,8
c8.pdf,file://data/CVs\c8.pdf,49,5,14,18,6,6
c80.pdf,file://data/CVs\c80.pdf,22,0,2,12,1,7
c81.pdf,file://data/CVs\c81.pdf,77,20,18,20,10,9
c82.pdf,file://data/CVs\c82.pdf,20,0,2,12,0,6
c83.pdf,file://data/CVs\c83.pdf,52,8,12,17,7,8
c84.pdf,file://data/CVs\c84.pdf,37,5,5,18,6,3
c85.pdf,file://data/CVs\c85.pdf,34,0,5,18,8,3
c86.pdf,file://data/CVs\c86.pdf,57,10,12,19,9,7
c87.pdf,file://data/CVs\c87.pdf,20,0,2,10,3,5
c88.pdf,file://data/CVs\c88.pdf,34,0,5,18,4,7
c89.pdf,file://data/CVs\c89.pdf,62,5,18,20,10,9
c9.pdf,file://data/CVs\c9.pdf,44,5,10,16,6,7
c90.pdf,file://data/CVs\c90.pdf,35,5,3,15,3,9
c91.pdf,file://data/CVs\c91.pdf,42,0,8,18,9,7
c92.pdf,file://data/CVs\c92.pdf,51,5,10,19,8,9
c93.pdf,file://data/CVs\c93.pdf,49,5,12,18,8,6
c94.pdf,file://data/CVs\c94.pdf,20,0,1,12,2,5
c95.pdf,file://data/CVs\c95.pdf,58,5,18,19,9,7
c96.pdf,file://data/CVs\c96.pdf,46,5,8,19,8,6
c97.pdf,file://data/CVs\c97.pdf,55,5,18,19,9,4
